,level_0,index,song,artist
219,4475,6566,drifting,nf
220,3427,4718,fly to my room,bts
221,2108,220,electric love,børns
222,477,2319,by your side,jonas blue
223,508,3023,8 letters,why don't we
224,2271,9087,spaceship,don toliver
225,2472,8263,she will be loved,maroon 5
226,3181,810,bejeweled,taylor swift
227,1396,1610,a tale of 2 citiez,j. cole
228,1640,3954,album of the year  freestyle,j. cole
229,1293,4043,freestyle 4,kanye west
230,3636,7135,the war,joyner lucas
231,318,743,weak,ajr
232,2176,65,roxanne,arizona zervas
233,2915,1536,questions,chris brown
234,890,4773,go off,lil uzi vert
235,1019,439,tell em,cochise
236,3374,433,antidote,travis scott
237,3147,7501,on fleek,offset
238,2486,10642,white ferrari,frank ocean
239,4886,9930,skat,tory lanez
240,4552,10775,reflection,fifth harmony
241,3794,8892,overdrive,conan gray
242,1046,968,honest,baby keem
243,531,5087,million dollar play,future
244,1975,5971,feds did a sweep,future
245,443,8486,angel from montgomery,john prine
246,1762,10258,run for cover,the killers
247,1562,10308,telephone,lady gaga
248,1060,3377,sweet home alabama,lynyrd skynyrd
249,978,2466,distraction,polo g
250,651,1194,"hey look ma, i made it",panic! at the disco
251,347,5551,tunnel vision (outro),pop smoke
252,4148,5304,together,cazzette
253,4700,4202,tie that binds,drake
254,1727,7404,formidable,twenty one pilots
255,2836,5083,i don't want your money,ed sheeran
256,3304,8379,21c/delta,jack harlow
257,1010,1663,dos oruguitas,sebastian yatra
258,1000,2222,playing games,summer walker
259,1049,1797,fade,kanye west
260,1788,9202,just happened,nav
261,2426,565,fine china,future
262,4467,3802,high by the beach,lana del rey
263,1978,4520,be the one,dua lipa
264,77,1902,run me dry,bryson tiller
265,2952,5045,lalisa,lisa
266,1317,2206,idgaf,boywithuke
267,902,5390,slide,french montana
268,381,8205,never worn white,katy perry
269,3346,4914,know my rights,6lack
270,3864,1762,allergic,post malone
271,1268,557,rain on me,lady gaga
272,425,2493,knockin' boots,luke bryan
273,4912,2649,sleazy flow,sleazyworld go
274,288,6402,sugar  remix,maroon 5
275,3541,5984,paid the fine,young stoner life
276,2008,4675,dance now,jid
277,2107,913,nevermind,dennis lloyd
278,1944,9824,spirit in the sky,norman greenbaum
279,549,4741,follow you,imagine dragons
280,1499,9892,h2o,xxxtentacion
281,3108,2344,sos,sza
282,1146,7895,treat me,chlöe
283,664,2413,i bet you think about me,taylor swift
284,1880,495,it's you,ali gatie
285,4898,4931,glittery,kacey musgraves
286,1015,655,f*ck up some commas,future
287,544,3523,vacation,tyga
288,2450,9152,like it,summer walker
289,1773,9576,up to me,lany
290,3373,9326,talking body  gryffin remix,tove lo
291,1327,10031,low key,doe boy
292,629,8682,white christmas,the drifters
293,4083,10558,blame,bastille
294,2082,9031,handclap,fitz and the tantrums
295,4397,7961,church,fall out boy
296,1490,7882,stainless,logic
297,1739,3000,last night lonely,jon pardi
298,4931,9207,crying over you,the band camino
299,1376,5520,do you mind,dj khaled
300,284,1944,mirrorball,taylor swift
301,3022,3593,proud,2 chainz
302,3442,2721,powerful,major lazer
303,3951,6352,drive,halsey
304,2230,5252,talk that talk,twice
305,1395,9972,even the losers,tom petty and the heartbreakers
306,170,3155,chrome heart tags,lil uzi vert
307,1572,8953,boomin,teyana taylor
308,119,4882,remind me,eminem
309,2640,4373,for fun,lil uzi vert
310,973,2193,don't check on me,chris brown
311,4456,9347,love yourself,ajdaguru
312,3479,3899,never go back,dennis lloyd
313,1509,2094,real friends,camila cabello
314,2064,9916,about you,lil tecca
315,1076,7945,lay it on me,vance joy
316,3812,9188,rumbatón,daddy yankee
317,110,5449,one shot,youngboy never broke again
318,552,9763,lucky,chelsea cutler
319,1324,5444,eat it,megan thee stallion
320,2820,4452,no auto,lil uzi vert
321,43,4654,me on whiskey,morgan wallen
322,4657,1059,bones,imagine dragons
323,3104,10480,slumber party,britney spears
324,4995,8565,black,dierks bentley
325,3843,1278,motivation,normani
326,1689,3547,reputation,post malone
327,1699,807,in your eyes,the weeknd
328,2751,160,changes,xxxtentacion
329,2824,4935,unbothered,ski mask the slump god
330,311,9721,the number you have dialed is not in service,$uicideboy$
331,1026,681,i hope,gabby barrett
332,165,7869,antifragile,le sserafim
333,4557,6975,punk monk,playboi carti
334,400,10911,baby be my love song,easton corbin
335,546,6888,only love,mumford & sons
336,2739,2135,sledgehammer,fifth harmony
337,3577,2685,"wat u mean (aye, aye, aye)",dae dae
338,1855,5136,california,childish gambino
339,3547,8490,lifestyle,dreamville
340,2260,10511,wake me up before you gogo,wham!
341,3669,350,loyalty. feat. rihanna.,kendrick lamar
342,4057,4152,20/20,lil tjay
343,3580,8772,let me go,giveon
344,1307,5170,lookin exotic,future
345,2655,7409,rain on me (intro),bryson tiller
346,1037,2372,cooler than a bitch,gunna
347,1070,1210,creeping,lil skies
348,3567,7953,run & hide,nicki minaj
349,4023,6263,self made,lil yachty
350,456,11047,of the night,bastille
351,2178,2504,yessirskiii,lil uzi vert
352,4600,5132,title track,machine gun kelly
353,3095,5929,club paradise,drake
354,2566,4534,the fighter,keith urban
355,854,5723,calldrops,a$ap rocky
356,4035,313,this is what you came for,calvin harris
357,424,8636,torch,schoolboy q
358,1909,9123,long gone,juice wrld
359,3149,2836,wasted,tiësto
360,610,6309,birthday,migos
361,909,6556,run it up,nav
362,3046,2768,"god, your mama, and me",florida georgia line
363,3592,7484,this is halloween,marilyn manson
364,4194,9141,shadows,youngboy never broke again
365,3376,4351,telephone calls,a$ap mob
366,3213,1406,tip toe,roddy ricch
367,3324,398,meet me at our spot,the anxiety
368,3668,5754,turning tables,adele
369,4735,2823,been that way,bryson tiller
370,2584,3013,enemies,lauv
371,2325,343,"i hate u, i love u",gnash
372,3585,10354,hello beautiful,noah schnacky
373,3796,5448,harder than my demons,big sean
374,2856,9059,frosty the snowman,zee avi
375,4169,1215,o tannenbaum,vince guaraldi trio
376,933,7021,for the love of new york,polo g
377,4965,7952,instruction,jax jones
378,3588,5113,sunday morning jetpack,big sean
379,1610,5597,m'$,a$ap rocky
380,2588,2491,run,joji
381,123,9619,agua,daddy yankee
382,2989,3721,this love (taylor’s version),taylor swift
383,4360,5005,dreams money can buy,drake
384,542,5464,bandito,twenty one pilots
385,1834,7247,walk on water,thirty seconds to mars
386,384,10941,my name is,eminem
387,607,8972,rent free,russ
388,965,1396,tuesday,ilovemakonnen
389,3598,4561,same ol’ mistakes,rihanna
390,4686,1039,"1 step forward, 3 steps back",olivia rodrigo
391,1913,9829,hellboy,lil peep
392,4885,2308,she's kinda hot,5 seconds of summer
393,25,2981,jumpsuit,twenty one pilots
394,731,10340,the wave,r3hab
395,2192,3941,jangueo,anuel aa
396,528,7278,new money,calvin harris
397,2014,4475,ugh!,bts
398,1714,641,dangerous woman,ariana grande
399,1587,2443,ville mentality,j. cole
400,1487,2797,love nwantiti,ckay
401,4980,3096,like it is,kygo
402,1047,9856,serious,russ
403,1651,3910,manifesto,"tyler, the creator"
404,956,8018,breeze off the pond,justin timberlake
405,1145,9208,to noise making (sing),hozier
406,2239,2897,rudolph the rednosed reindeer,dean martin
407,3718,3563,test drive,ariana grande
408,952,7367,tryna smoke,jhené aiko
409,2765,795,did it again,lil tecca
410,1273,3951,numb,linkin park
411,3800,3688,otra noche sin ti,j balvin
412,4746,8481,ecstasy,xxxtentacion
413,2758,2199,homecoming,lil uzi vert
414,743,283,heartbreak anniversary,giveon
415,3818,8582,where the cash at,brockhampton
416,3618,7230,good thing,sage the gemini
417,2163,6128,死ぬのがいいわ,fujii kaze
418,1017,7597,backwards,gucci mane
419,2360,9470,"peaches (remix) feat. ludacris, usher & snoop dogg",justin bieber
420,2436,10974,hollywood dreams,miguel
421,1032,7436,hold your breath,nav
422,2819,573,back to you,selena gomez
423,2168,365,where are ü now,jack ü
424,1599,5802,photo copied,future
425,3887,9620,seaside,lil tecca
426,4050,580,one thing right,marshmello
427,3356,4457,la devotee,panic! at the disco
428,4388,10157,runaway,sebastian yatra
429,1979,10716,ashes to ashes,david bowie
430,603,6281,rembrandt...run it back,dreamville
431,3637,9906,me (fwm),meek mill
432,3906,9287,miss you,louis tomlinson
433,4108,4753,kings of summer  single version,ayokay
434,1450,103,traitor,olivia rodrigo
435,4065,8948,take my hand,5 seconds of summer
436,4709,2522,internet,post malone
437,365,4381,selfmade,bryson tiller
438,3938,9537,never abandon your family,kanye west
439,4840,10286,big bros,brandon shinin
440,1050,3331,crown,kendrick lamar
441,2429,9826,make it out,lil baby
442,3421,7006,cherry hill,russ
443,4969,7265,10 times,yg
444,4020,1364,good drank,2 chainz
445,4410,6451,sorrows,bryson tiller
446,3364,5798,beauty and the beast,ariana grande
447,331,4879,free woman,lady gaga
448,3137,10982,silent night,joshua hyslop
449,3438,4752,andromeda,gorillaz
450,1290,1162,all mine,brent faiyaz
451,4319,902,so done,the kid laroi
452,4810,3144,mafia,travis scott
